Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,58.77,58.83,57.6,58.26,13521500,51.19,0.0,51.19,51.19
2016-01-05,2016,1,5,Tuesday,01,2016-01,58.79,58.79,57.98,58.65,9617800,51.53,0.006694003750627342,51.36,51.36
2016-01-06,2016,1,6,Wednesday,01,2016-01,57.7,58.53,57.64,58.13,8266300,51.08,-0.008866014042167358,51.26666666666667,51.26666666666667
2016-01-07,2016,1,7,Thursday,01,2016-01,56.88,57.91,56.16,56.69,11140900,49.81,-0.02477191759204367,50.9025,50.9025
2016-01-08,2016,1,8,Friday,01,2016-01,57.41,57.73,56.53,56.63,10427000,49.76,-0.0010585090048315093,50.674,50.674
2016-01-11,2016,1,11,Monday,02,2016-02,57.0,58.12,56.78,57.82,10757300,50.81,0.021013528804596726,50.696666666666665,50.696666666666665
2016-01-12,2016,1,12,Tuesday,02,2016-02,58.39,59.53,58.18,59.46,12375800,52.25,0.028363814765158812,50.91857142857143,50.91857142857143
2016-01-13,2016,1,13,Wednesday,02,2016-02,59.8,60.0,57.8,57.87,11303600,50.85,-0.026740743612619355,50.91,50.91
2016-01-14,2016,1,14,Thursday,02,2016-02,57.51,59.43,56.92,58.98,11444100,51.82,0.01918110169352283,51.01111111111111,51.01111111111111
2016-01-15,2016,1,15,Friday,02,2016-02,57.07,58.39,56.75,58.0,15246100,50.96,-0.01661562315082732,51.006,51.006
2016-01-19,2016,1,19,Tuesday,03,2016-03,58.67,59.39,58.12,58.55,12289000,51.45,0.009482747263868108,51.04636363636364,51.04636363636364
2016-01-20,2016,1,20,Wednesday,03,2016-03,57.57,57.96,54.94,56.92,22786400,50.01,-0.02783970219531151,50.96,50.96
2016-01-21,2016,1,21,Thursday,03,2016-03,57.84,59.38,57.67,59.03,20888500,51.87,0.03706965886950342,51.03,51.03
2016-01-22,2016,1,22,Friday,03,2016-03,57.55,59.4,57.41,59.17,32820200,51.99,0.002371849521923375,51.098571428571425,51.098571428571425
2016-01-25,2016,1,25,Monday,04,2016-04,59.36,59.38,57.61,57.71,13554300,50.71,-0.024674827653557108,51.064285714285724,51.07266666666667
2016-01-26,2016,1,26,Tuesday,04,2016-04,57.92,58.87,57.8,58.61,8898100,51.5,0.01559512628324744,51.06214285714286,51.099375
2016-01-27,2016,1,27,Wednesday,04,2016-04,58.87,58.96,57.26,57.63,12491300,50.64,-0.016720517561169324,51.03071428571429,51.07235294117647
2016-01-28,2016,1,28,Thursday,04,2016-04,58.29,59.42,58.0,59.29,11832400,52.1,0.028804455215631686,51.19428571428572,51.129444444444445
2016-01-29,2016,1,29,Friday,04,2016-04,59.78,60.88,59.64,60.77,13224400,53.4,0.024962154589696084,51.45428571428572,51.24894736842106
2016-02-01,2016,2,1,Monday,05,2016-05,60.66,61.79,60.27,61.4,9529100,53.95,0.010366858913831933,51.67857142857143,51.384
2016-02-02,2016,2,2,Tuesday,05,2016-05,60.66,60.9,60.18,60.7,9407400,53.51,-0.008170181883592087,51.768571428571434,51.485238095238095
2016-02-03,2016,2,3,Wednesday,05,2016-05,60.88,61.13,58.5,59.53,12254500,52.48,-0.019274856205830027,51.885,51.530454545454546
2016-02-04,2016,2,4,Thursday,05,2016-05,59.41,59.45,57.99,58.29,13944900,51.39,-0.020830027432645615,51.854285714285716,51.52434782608695
2016-02-05,2016,2,5,Friday,05,2016-05,58.1,58.2,54.25,54.49,24529000,48.04,-0.06519126479381587,51.645714285714284,51.37916666666666
